Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM Forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
28-03-22 17:45;0.00:15:00;Offshore;Federal;Elia;;332.48;0.1;1113.68;;;;;;;332.48;0.1;1113.68;2254.4;;0
28-03-22 17:30;0.00:15:00;Offshore;Federal;Elia;;327.19;0.1;1052.72;;;;;;;327.19;0.1;1052.72;2254.4;;0
28-03-22 17:15;0.00:15:00;Offshore;Federal;Elia;;291.8;0.1;997.42;;;;;;;291.8;0.1;997.42;2254.4;;0
28-03-22 17:00;0.00:15:00;Offshore;Federal;Elia;;257.91;0.1;984.73;;;;;;;257.91;0.1;984.73;2254.4;;0
28-03-22 16:45;0.00:15:00;Offshore;Federal;Elia;;241.26;0.1;1015.9;;;;;;;241.26;0.1;1015.9;2254.4;;0
28-03-22 16:30;0.00:15:00;Offshore;Federal;Elia;;213.78;0.1;1059.63;;;;;;;213.78;0.1;1059.63;2254.4;;0
28-03-22 16:15;0.00:15:00;Offshore;Federal;Elia;;205.99;0.1;1106.25;;;;;;;205.99;0.1;1106.25;2254.4;;0
28-03-22 16:00;0.00:15:00;Offshore;Federal;Elia;;192.37;0.1;1088.14;;;;;;;192.37;0.1;1088.14;2254.4;;0
28-03-22 15:45;0.00:15:00;Offshore;Federal;Elia;;184.4;0.1;1042.5;;;;;;;184.4;0.1;1042.5;2254.4;;0
28-03-22 15:30;0.00:15:00;Offshore;Federal;Elia;;177.9;0.1;1002.6;;;;;;;177.9;0.1;1002.6;2254.4;;0
28-03-22 15:15;0.00:15:00;Offshore;Federal;Elia;;171.53;0.1;960.86;;;;;;;171.53;0.1;960.86;2254.4;;0
28-03-22 15:00;0.00:15:00;Offshore;Federal;Elia;;153.37;0.1;945.01;;;;;;;153.37;0.1;945.01;2254.4;;0
28-03-22 14:45;0.00:15:00;Offshore;Federal;Elia;;146.9;0.1;939.32;;;;;;;146.9;0.1;939.32;2254.4;;0
28-03-22 14:30;0.00:15:00;Offshore;Federal;Elia;;139.65;0.1;904.44;;;;;;;139.65;0.1;904.44;2254.4;;0
28-03-22 14:15;0.00:15:00;Offshore;Federal;Elia;;130.74;0.1;884.44;;;;;;;130.74;0.1;884.44;2254.4;;0
28-03-22 14:00;0.00:15:00;Offshore;Federal;Elia;;120.17;0.1;877.9;;;;;;;120.17;0.1;877.9;2254.4;;0
28-03-22 13:45;0.00:15:00;Offshore;Federal;Elia;;127.08;0.1;871.24;;;;;;;127.08;0.1;871.24;2254.4;;0
28-03-22 13:30;0.00:15:00;Offshore;Federal;Elia;;134.21;0.1;864.64;;;;;;;134.21;0.1;864.64;2254.4;;0
